referring_pcp_npi,receiving_hospital_npi,transaction_count
1861507782,1861479545,68
1114019833,1861479545,1144
1386710051,1861479545,632
1386663144,1861479545,128
1457746331,1861479545,96
1851407548,1861479545,1228
1902196165,1861479545,1086
1649362062,1861479545,53
1720020761,1861479545,317
1619916970,1861479545,99
1861430621,1861479545,186
1386698058,1861479545,390
1912166752,1578591756,76
1578531174,1578591756,51
1962515023,1578591756,79
1316054133,1578591756,80
1548332505,1578591756,269
1891788840,1578591756,90
1417900820,1578591756,171
1578531851,1578591756,52
1740258011,1578591756,65
1962470567,1578591756,78
1033297429,1578591756,306
1912060468,1578591756,302
1467406314,1578591756,113
1124246681,1578591756,216
1861451338,1578591756,165
1982829297,1578591756,1400
1326101924,1578591756,98
1568455517,1578591756,79
1891773057,1578591756,84
1740240902,1578591756,542
1902035371,1578591756,86
1851384747,1578591756,90
1215029897,1578591756,56
1285781161,1578591756,58
1386600906,1578591756,56
1467418087,1578591756,311
1972708667,1578591756,86
1508008053,1578591756,223
1851407548,1578591756,1569
1861430621,1578591756,264
1831186188,1568551455,163
1689653461,1568551455,201
1366736845,1568551455,194
1578728283,1568551455,186
1518161009,1568551455,178
1811935612,1568551455,239
1750338539,1568551455,241
1891132767,1568551455,171
1003071333,1568551455,175
1679832950,1568551455,149
1073518734,1568551455,204
1841278157,1568551455,149
1588899082,1568551455,229
1881619609,1568551455,370
1770774754,1568551455,201
1528115482,1568551455,100
1578530796,1568551455,93
1962816207,1568551455,169
1518054626,1568551455,50
1548571052,1669567897,106
1659428548,1669567897,233
1790891315,1669567897,515
1184612921,1669567897,112
1982724076,1669567897,216
1043294747,1669567897,266
1013179860,1669567897,633
1417011008,1669567897,684
1023205531,1669567897,218
1104818889,1669567897,54
1174565543,1669567897,244
1487674016,1669567897,105
1568448736,1669567897,202
1588684104,1669567897,52
1003819277,1669567897,52
1063506921,1669567897,1890
1417131715,1669567897,118
1982703328,1669567897,172
1104933738,1669567897,138
1659530194,1669567897,83
1376616771,1669567897,90
1043394166,1669567897,65
1679667521,1669567897,276
1174517593,1669567897,172
1871696096,1669567897,64
1275536468,1669567897,453
1447366075,1669567897,1186
1225027014,1669567897,572
1487644522,1669567897,77
1265606255,1669567897,125
1487723342,1669567897,960
1447256490,1669567897,878
1356492342,1669567897,117
1174500896,1669567897,188
1811104003,1669567897,646
1245368943,1669567897,62
1407057946,1669567897,155
1821069501,1669567897,537
1679557565,1669567897,1025
1679689285,1669567897,1324
1720282205,1669567897,295
1417046806,1669567897,163
1316944648,1669567897,479
1336230424,1669567897,50
1457346132,1881642809,171
1942255575,1922319037,96
1114313319,1922319037,106
1457428195,1922319037,355
1902823099,1922319037,76
1174669998,1922319037,313
1346345154,1922319037,657
1548366222,1922319037,93
1447307251,1922319037,128
1457346132,1922319037,128
1366497273,1922319037,125
1790753259,1922319037,137
1366499261,1922319037,248
1790757821,1922319037,104
1881646073,1922319037,78
1558355941,1922319037,372
1619945292,1922319037,64
1871589473,1922319037,253
1174919617,1922319037,144
1821386525,1922319037,70
1942290333,1922319037,81
1184619124,1104137215,111
1184619124,1922319037,2077
1225039290,1922319037,139
1043205008,1922319037,69
1679546717,1922319037,143
1861430621,1922319037,353
1184619124,1366703225,82
1083609481,1942442710,121
1114974979,1942442710,164
1417944760,1942442710,158
1306862669,1649659582,259
1518974732,1649659582,342
1407848534,1649659582,468
1255323382,1649659582,173
1578555611,1649659582,342
1235242181,1649659582,111
1841282779,1649659582,493
1962409433,1649659582,294
1770575607,1649659582,507
